DateTime,AddedIPs,RemovedIPs
1521241905,11,34
1521243856,14,14
1521245687,18,18
1521247495,19,26
1521249437,19,13
1521251320,24,27
1521253441,40,21
1521255374,33,29
1521257361,33,29
1521259325,24,31
1521261308,22,40
1521263295,19,32
1521265098,10,26
1521266925,16,26
1521268876,16,34
1521270758,39,30
1521272737,80,39
1521274579,27,39
1521276560,28,30
1521278433,17,52
1521280392,16,32
1521282273,13,51
1521284271,23,26
1521286097,18,23
1521288133,13,19
1521289964,13,24
1521291992,17,21
1521293796,15,16
1521295832,13,15
1521297638,13,14
1521299695,15,16
1521301590,11,13
1521303522,8,13
1521305429,15,16
1521307358,18,13
1521309284,17,17
1521311191,8,23
1521313118,8,19
1521315042,18,32
1521316974,19,50
1521318890,10,50
1521320925,9,19
1521323066,12,11
1521325006,9,13
1521326946,10,24
1521328892,12,15
1521330751,19,17
1521332660,17,21
1521334575,57,12
1521336494,26,14
1521338490,49,21
1521340337,37,22
1521342274,20,23
1521344430,34,33
1521346351,45,21
1521348289,26,12
1521350188,32,22
1521352105,14,21
1521354021,22,21
1521356077,43,22
1521358367,37,98
1521360271,41,31
1521362198,29,35
1521364124,40,33
1521366042,34,26
1521367948,36,17
1521369873,19,20
1521371790,37,23
1521373699,52,16
1521375635,83,23
1521377578,92,30
1521379475,106,18
1521381378,90,25
1521383311,80,16
1521385280,54,15
1521387149,14,18
1521389074,16,11
1521390995,28,13
1521392950,23,15
1521394841,19,13
1521396751,13,15
1521398680,21,8
1521400607,18,13
1521402744,27,14
1521404662,31,14
1521406582,13,8
1521408497,60,13
1521410489,27,12
1521413735,43,24
1521415695,33,12
1521417595,17,9
1521419547,30,18
1521421442,27,46
1521423637,78,20
1521425558,74,23
1521427483,50,12
1521429397,50,17
1521431423,9,28
1521433484,23,32
1521435396,8,18
1521437321,26,20
1521439306,36,13
1521441151,46,27
1521443083,45,51
1521444999,19,34
1521446906,12,45
1521449088,38,35
1521450996,13,41
1521452923,20,31
1521454829,15,39
1521456755,13,19
1521458668,26,54
1521460594,18,57
1521462506,21,55
1521464499,35,78
1521466352,38,75
1521468287,45,61
1521470193,22,75
1521472123,32,27
1521474036,17,21
1521475964,19,18
1521477886,31,36
1521480063,28,22
1521481950,34,23
1521483904,41,16
1521485787,50,22
1521487751,20,19
1521490714,44,45
1521492825,23,21
1521494676,14,64
1521496577,29,25
1521498496,26,23
1521500539,5,28
1521502370,8,18
1521504517,11,11
1521506418,11,6
1521508343,13,10
1521510271,29,21
1521512472,30,23
1521514493,11,14
1521516495,23,17
1521518307,16,12
1521520356,14,337
1521522164,18,4
1521524235,19,26
1521526240,8,37
1521528044,8,53
1521530148,21,33
1521532102,16,9
1521533926,21,29
1521535932,17,16
1521537856,10,16
1521539772,13,15
1521541591,13,19
1521543400,16,13
1521545471,9,32
1521547734,33,27
1521549645,16,28
1521551569,23,51
1521553476,16,40
1521555395,16,37
1521557333,25,21
1521559227,26,25
1521561176,40,26
1521563079,38,24
1521564998,13,52
1521566911,24,30
1521568893,21,65
1521570991,19,86
1521573281,23,70
1521575470,10,30
1521577469,8,27
1521579407,28,23
1521581566,25,31
1521583487,44,55
1521585399,30,14
1521587327,13,4
1521589257,14,14
1521591512,7,25
1521593326,9,8
1521595382,9,27
1521597375,9,34
1521599260,8,29
1521601333,5,16
1521603404,19,30
1521605309,21,18
1521607145,17,11
1521609157,17,30
1521610973,46,22
1521612972,42,7
1521614794,9,12
1521616600,5,26
1521618598,12,23
1521620443,12,34
1521622416,4,24
1521624284,8,11
1521626374,10,17
1521628343,6,18
1521630209,7,27
1521632175,4,8
1521634033,12,27
1521636016,5,13
1521637862,6,25
1521639779,12,19
1521641657,5,11
1521643466,9,20
1521645497,10,34
1521647298,5,57
1521649346,9,47
1521651272,7,14
1521653190,10,15
1521654992,11,21
1521657040,13,24
1521658990,8,25
1521660930,33,12
1521662894,29,9
1521664761,7,19
1521666739,3,31
1521668862,3,45
1521670970,3,38
1521672814,4,21
1521675583,2,27
1521677565,6,7
1521679476,7,8
1521682432,5,20
1521685717,6,12
1521687761,8,5
1521689572,5,18
1521691479,9,27
1521693629,8,23
1521695545,7,22
1521697461,7,59
1521699391,6,53
1521701570,6,9
1521703634,7,12
1521705874,8,13
1521707803,10,8
1521709724,4,10
1521711887,8,5
1521713786,10,7
1521715967,8,11
1521717869,8,5
1521719794,12,15
1521721721,10,5
1521723696,15,9
1521725550,18,10
1521727491,36,6
1521729406,30,8
1521731335,23,11
1521733246,16,9
1521735489,21,7
1521737316,16,6
1521739223,12,7
1521741160,6,11
1521743080,10,10
1521744979,14,8
1521746922,8,31
1521748924,6,31
1521751003,35,17
1521752927,12,1
1521754839,26,5
1521756743,51,2
1521758926,35,4
1521760827,49,0
1521762760,61,1
1521764675,9,8
1521766581,14,6
1521768516,14,4
1521770516,24,4
1521772361,14,3
1521774272,10,6
1521776204,31,5
1521778124,15,7
1521780039,16,6
1521781952,37,8
1521783897,11,8
1521785801,18,5
1521787714,42,5
1521789639,37,4
1521791550,17,9
1521793485,10,6
1521795391,18,5
1521797314,18,4
1521799840,15,10
1521801877,8,9
1521803778,26,1
1521805724,24,13
1521807887,29,10
1521809790,23,12
1521811712,24,14
1521815125,41,50
1521816980,10,25
1521818917,24,11
1521821084,32,22
1521823003,51,13
1521824930,43,16
1521826829,21,4
1521828759,21,10
1521830698,30,10
1521832591,27,7
1521834512,35,8
1521836673,29,22
1521838901,27,14
1521840749,29,22
1521842690,48,28
1521845712,28,39
1521847955,19,44
1521849879,13,23
1521851783,14,9
1521853708,21,11
1521855866,48,24
1521857783,63,16
1521859711,31,9
1521861613,33,17
1521863548,26,18
1521865456,15,10
1521867497,25,27
1521869542,23,15
1521871471,22,9
1521873627,22,26
1521875559,29,31
1521877480,30,16
1521879386,17,13
1521881324,24,15
1521883226,5,16
1521885160,14,9
1521887077,22,6
1521888988,23,13
1521890907,19,13
1521892926,24,29
1521894748,13,12
1521896689,8,32
1521898585,14,18
1521900508,11,22
1521902425,18,18
1521904354,42,11
1521906276,14,25
1521908201,27,19
1521910109,20,47
1521912268,24,35
1521914199,42,21
1521916102,12,19
1521918079,17,38
1521919963,24,33
1521921871,18,26
1521923824,20,27
1521925712,17,28
1521927639,22,37
1521929544,8,34
1521931463,7,16
1521933399,6,22
1521935302,6,10
1521937230,8,18
1521939139,11,21
1521941076,10,28
1521942982,7,47
1521944914,9,62
1521946940,14,41
1521951154,14,53
1521956916,25,65
1521961102,13,72
1521962910,14,32
1521971555,41,112
1521973472,7,33
1521976352,3,44
1521978267,1,23
1521984809,7,57
1521986840,8,12
1521988712,6,20
1521990580,8,46
1521994414,21,40
1521996257,9,28
1521998248,1,27
1522000062,6,55
1522005725,15,59
1522008769,10,35
1522010767,4,29
1522012583,7,32
1522014750,8,22
1522016676,15,10
1522018574,14,13
1522020766,24,3
1522022687,68,20
1522024578,107,10
1522026513,53,11
1522028426,18,6
1522030359,37,6
1522032284,48,13
1522034200,24,11
1522036097,28,4
1522038036,34,5
1522039942,26,3
1522041995,14,9
1522044086,14,18
1522046041,16,6
1522047884,20,6
1522049787,8,16
1522051699,2,11
1522053617,9,8
1522055591,8,17
1522057466,10,14
1522059411,16,9
1522061349,17,1
1522063225,17,2
1522065145,16,1
1522067065,14,2
1522068934,12,3
1522070904,20,1
1522073079,15,8
1522075004,12,4
1522076925,38,8
1522078840,30,11
1522080865,10,8
1522082679,9,8
1522084605,15,1
1522086523,28,8
1522088426,11,6
1522090361,14,2
1522092272,19,7
1522094203,14,5
1522096112,10,5
1522100296,29,14
1522102402,6,12
1522104530,10,12
1522107853,7,42
1522110138,16,92
1522112243,15,85
1522114096,7,14
1522116283,36,30
1522118177,21,39
1522120106,18,26
1522122035,16,38
1522123964,4,31
1522125883,11,26
1522127804,11,14
1522129723,11,17
1522131859,9,12
1522133774,12,17
1522135713,14,13
1522137720,7,1
1522139557,13,6
1522141476,14,9
1522143403,8,11
1522145326,15,17
1522147943,11,23
1522149871,5,19
1522152124,18,20
1522154154,10,16
1522156094,24,19
1522157963,33,16
1522160201,63,12
1522162120,16,25
1522164032,43,38
1522166215,76,18
1522168105,19,7
1522170094,18,9
1522171955,13,25
1522173891,14,24
1522175790,18,16
1522177726,8,13
1522179634,12,20
1522181568,13,16
1522183478,24,6
1522185404,23,16
1522187328,36,19
1522189662,107,4
1522191813,53,13
1522193788,31,3
1522195719,30,8
1522197625,26,9
1522199554,22,13
1522201733,23,24
1522204046,40,20
1522205963,20,17
1522214299,84,45
1522216497,47,11
1522219710,29,17
1522221767,10,11
1522223621,23,6
1522241094,83,433
1522243436,333,0
1522249720,0,126
1522251626,0,22
1522253626,0,89
1522276487,0,185
1522278333,0,144
1522282525,0,68
1522284760,0,51
1522288599,0,50
1522292441,0,75
1522296295,0,43
